@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q98885149,Majid bin Ali Al-Naimi->Majid bin Ali AlNuaimi,Q108884472,Minister of Education,2002-11-11,2022-11-21,Q98885149-6B326C73-9926-4F7B-B54D-CACFCD74E4AD
---,Q58171,Khalid bin Ahmed Al Khalifa,Q108884490,Minister of Foreign Affairs of Bahrain,2005-09-26,2020-02-11,Q58171-CFD3D9A9-98E3-4F94-9D0F-FFFD6432EB40
->,Q98804586,Ali bin Mohammed AlRumaihi,Q108884482,Minister of Information Affairs,2013-05-02->2016-03-04,2022-06-13,Q98804586-BDB1FE00-4C21-464E-A99C-74414AB98FF8
->,Q6127890,Jameel bin Mohammad Ali Humaidan,Q108884535,Minister of Labour->Minister of Labour and Social Development,2015-09-30->2014-12-06,,Q6127890-9052010F-987C-4FAA-ADD6-ABC5F560D004
---,Q113992844,Wael bin Nasser AlMubarak,Q113992965,Minister of Municipalities and Agriculture,2019-10-05,,Q113992844-8CAC25D1-A3E7-4D33-ABC1-62EECDDDAD63
---,Q43296389,Fatima bint Mohammed Al Balooshi,Q108884547,Minister of Social Development,2018-12,2022-06-13,Q43296389-735BE2F6-8E1B-4B7F-887F-0B83266D8374
->,Q6355372,Kamal bin Ahmed Mohammed,Q108884588,Minister of Transportation and Telecommunications,2012-02->2014-12-06,2022-06-13,Q6355372-2DDCE228-9E65-4071-9CE1-5E571069F484
->,Q105226570->Q5015494,Aymen bin Tawfeeq AlMoayed,Q113992775,Minister of Youth and Sports Affairs,2018-12-04,2022-11-21,Q105226570-4ED93B88-AC08-4F5C-A2C8-42EA22BA244D
---,Q57726,Khalifa bin Salman Al Khalifa,Q58150,Prime Minister of Bahrain,1970-01-10,2020-11-11,Q57726-F62BC707-B08C-4F1A-8EF7-1DACA4F34B0C
