item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q105226570,Aymen bin Tawfeeq AlMoayed,Q113992775,Minister of Youth and Sports Affairs,2018-12-04,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q105226570-4ED93B88-AC08-4F5C-A2C8-42EA22BA244D
Q112326281,Shaikh Salman bin Khalifa Al Khalifa,Q113992809,Minister of Finance and National Economy,2018-12-04,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q112326281-577D4966-B4BB-4CBB-9646-A214616F43CF
Q113992841,Abdulla bin Hasan AlNuaimi,Q108884577,Minister of Defence Affairs,2018-12-04,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q113992841-35455D7C-4B65-4989-8906-F538506BA7EF
Q113992842,Basim bin Yacoub AlHamer,Q108884520,Minister of Housing,2011-03-23,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q113992842-FB1E8723-C071-41CB-BA35-FA03D4073A42
Q113992843,Ghanim bin Fadhl AlBuainain,Q113992811,Minister of Parliament Affairs,2014-12-06,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q113992843-AABD11C9-6986-4B16-86C2-6FB12B0569AA
Q113992844,Wael bin Nasser AlMubarak,Q113992808,Minister of Electricity and Water Affairs,2019-10-05,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q113992844-C3C61319-1249-487D-BDB8-7DD05191643F
Q113992845,Zayed bin Rashid AlZayani,Q113992810,"Minister of Industry, Commerce and Tourism",2014-12-06,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q113992845-C32D02D6-C10B-4B3A-948D-B134E7B7E264
Q16115995,Mohammed bin Ibrahim AlMutawa,Q108884475,Minister of Cabinet Affairs,2015-09-30,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q16115995-96ec9bf1-45c7-0f40-50dd-98faad149a48
Q16730783,Shaikh Khalid bin Abdulla Al Khalifa,Q108884418,Deputy Prime Minister,2010-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q16730783-25dc6ac9-48b2-00c1-0055-678959faaa07
Q16730784,Shaikh Rashid bin Abdulla Al Khalifa,Q108884508,Minister of Interior,2004-05-22,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q16730784-01D42703-4E69-40E2-B9C4-AE7A9E773003
Q18922847,Essam bin Abdulla Khalaf,Q108884529,"Minister of Works, Municipalities and Urban Planning",2010-11-02,2022-06-13,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q18922847-17B34555-B36D-4591-853C-78EF2D4833E2
Q42822269,Faeqa bint Saeed AlSaleh,Q108884463,Minister of Health,2015-09-30,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q42822269-CCA995FC-6C4C-4080-923E-63C5D22C992A
Q43296389,Fatima bint Mohammed Al Balooshi,Q108884547,Minister of Social Development,2018-12,,,Q43296389-735BE2F6-8E1B-4B7F-887F-0B83266D8374
Q4666152,Abdullatif bin Rashid AlZayani,Q108884490,Minister of Foreign Affairs,2020-02-11,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q4666152-4ECFBFA6-EE4C-4C5A-806A-B14C64947954
Q47495164,Shaikh Mohamed bin Khalifa Al Khalifa,Q108884484,Minister of Oil,2016-06-05,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q47495164-B68A1D91-4602-4797-A7AA-8C95B8366043
Q57726,Khalifa bin Salman Al Khalifa,Q58150,Prime Minister of Bahrain,1970-01-10,2020-11-11,,Q57726-F62BC707-B08C-4F1A-8EF7-1DACA4F34B0C
Q58140,Salman bin Hamad bin Isa Al Khalifa,Q58150,Prime Minister of Bahrain,2020-11-11,,,Q58140-75393553-4c68-1922-105a-650fa0ae9559
Q58171,Khalid bin Ahmed Al Khalifa,Q108884490,Minister of Foreign Affairs of Bahrain,2005-09-26,2020-02-11,,Q58171-CFD3D9A9-98E3-4F94-9D0F-FFFD6432EB40
Q6127890,Jameel bin Mohammad Ali Humaidan,Q108884535,Minister of Labour and Social Development,2015-09-30,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q6127890-9052010F-987C-4FAA-ADD6-ABC5F560D004
Q6165879,Jawad AlArrayedh,Q108884418,Deputy Prime Minister,2006-12-11,2022-06-14,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q6165879-CB0C9F2E-5E0F-4142-9D3C-B1F1038A0D38
Q6355372,Kamal bin Ahmed Mohammed,Q108884588,Minister of Transportation and Telecommunications,2012-02,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q6355372-2DDCE228-9E65-4071-9CE1-5E571069F484
Q6932875,Shaikh Muhammad bin Mubarak Al Khalifa,Q108884418,Deputy Prime Minister,2005-09-26,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q6932875-2C1D0DBB-B429-425E-9A86-A894965533BD
Q98804586,Ali bin Mohammed AlRumaihi,Q108884482,Minister of Information Affairs,2013-05-02,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q98804586-BDB1FE00-4C21-464E-A99C-74414AB98FF8
Q98885149,Majid bin Ali AlNuaimi,Q108884472,Minister of Education,2002-11-11,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q98885149-6B326C73-9926-4F7B-B54D-CACFCD74E4AD
Q99968427,Shaikh Khalid bin Ali Al Khalifa,Q108884550,"Minister of Justice, Islamic Affairs and Waqf",2006-09-11,,https://en.wikipedia.org/wiki/Cabinet_of_Bahrain,Q99968427-02EF228F-96FD-44DC-A75C-6EB9DA69E7CB
