itemLabel,positionLabel
His Royal Highness Prince Salman bin Hamad Al Khalifa,The Crown Prince
His Royal Highness Prince Salman bin Hamad Al Khalifa,Prime Minister
Shaikh Khalid bin Abdulla Al Khalifa,Deputy Prime Minister
Lt- General Shaikh Rashid bin Abdulla Al Khalifa,Minister of Interior
Dr. Abdullatif bin Rashid Al Zayani,Minister of Foreign Affairs
Shaikh Salman bin Khalifa Al Khalifa,Minister of Finance and National Economy
Jameel bin Mohammed Ali Humaidan,Minister of Labour
Ghanim bin Fadhel Al Buainain,Minister for Shura Council and House of Representatives Affairs
Lieutenant General Abdullah bin Hassan Al Nuaimi,Minister of Defence Affairs
Wael bin Nasser Al Mubarak,Minister of Municipal Affairs and Agriculture
H.E.Dr. Mohammed bin Mubarak bin Daina,Minister of Oil and Environment
Mohammed bin Thamer Al Kaabi,Minister of Transportation and Telecommunications
Ibrahim bin Hassan Al Hawaj,Minister of Works
Youssef bin Abdulhussein Khalaf,Minister of Legal Affairs
Osama bin Ahmed Khalaf Al Asfoor,Minister of Social Development
Yasser bin Ibrahim Humaidan,Minister of Electricity and Water Affairs
Dr. Jalila bint Al Sayyed Jawad Hassan Jawad,Minister of Health
Nawaf bin Mohammed Al Maawda,"Minister of Justice, Islamic Affairs and Waqf"
Hamad bin Faisal Al Malki,Minister of Cabinet Affairs
Amna bint Ahmed Al Romaihi,Minister of Housing and Urban Planning
Noor bint Ali Al Khulaif,Minister of Sustainable Development
Fatima bint Jaffer Al Sairafi,Minister of Tourism
Dr. Ramzan bin Abdulla Al Nuaimi,Minister of Information Affairs
Dr. Mohammed Mubarak Juma,Minister of Education
Abdulla bin Adel Fakhro,Minister of Industry and Commerce
Rawan bint Najeeb Tawfiqi,Minister of Youth Affairs
