position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q58150,Prime Minister of Bahrain,Q398,Bahrain,Q398,Bahrain,1971-12-16,,,,,,,,,
Q21328582,Member of the Council of Representatives of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q30589456,Bahraini ambassador to the United States,Q398,Bahrain,,,,,,,,,,,,
Q40554070,ambassador of Bahrain to France,Q398,Bahrain,,,,,,,,,,,Q91927998,list of ambassadors of Bahrain to France
Q42719346,monarch of Bahrain,Q398,Bahrain,Q398,Bahrain,1783-01-01,,,,,,,,Q726872,list of kings of Bahrain
Q91927949,ambassador of Bahrain to the United Kingdom,Q398,Bahrain,,,,,,,,,,,,
Q91927951,ambassador of Bahrain to Ireland,Q398,Bahrain,,,,,,,,,,,,
Q91927952,ambassador of Bahrain to the Netherlands,Q398,Bahrain,,,,,,,,,,,,
Q108884418,Deputy Prime Minister of Bahrain,,,Q398,Bahrain,,,,,,,,,,
Q108884463,Minister of Health,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884472,Minister of Education of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884475,Minister of Cabinet Affairs,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884482,Minister of Information,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884484,Minister of Oil and Gas of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884490,Minister of Foreign Affairs of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884508,Minister of the Interior of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884520,Minister of Housing,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884529,Minister of Works,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884535,Minister of Labor and Social Development of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884547,Minister of Social Development,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884550,Minister of Justice of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884556,Minister for Human Rights,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884577,Minister of Defence of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q108884588,Minister of Transportation and Communications,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q113992775,Minister of Youth and Sport Affairs of Bahrain,,,Q398,Bahrain,,,,,,,,,,
Q113992808,Minister of Electricity and Water Affairs,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q113992809,Minister of Finance and National Economy,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q113992810,"Minister of Industry, Commerce and Tourism",Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q113992811,Minister of Parliament Affairs,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q113992963,Minister of Legal Affairs of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q113992965,Minister of Municipalities and Agriculture of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q113992968,Minister of Sustainable Development of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q113992970,Minister of Tourism of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
Q115344290,Minister of Infrastructure of Bahrain,Q398,Bahrain,Q398,Bahrain,,,,,,,,,,
